Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
1/26/2023,Atlanta,10127.08,18118.01,2709.44,9628.53,35.85
1/26/2023,Phoenix,11695.89,13486.2,4112.17,14917.92,46.45
1/26/2023,Las Vegas,4905.74,1262.35,515.97,971.1,79.53
1/26/2023,San Diego,7661.07,10443.02,2763.46,13816.99,42.32
1/26/2023,Philadelphia,17901.46,14907.63,7104.21,10943.28,54.56
1/27/2023,New York,937.12,2605.35,844.29,3779.83,26.45
1/27/2023,Los Angeles,23450.81,3057.66,4402.41,2222.82,88.47
1/27/2023,Chicago,27481.93,12216.54,5917.54,14169.58,69.23
1/27/2023,Houston,13233.83,17602.64,4242.19,25672.88,42.92
1/27/2023,San Francisco,3493.51,12372.96,3278.51,4939.83,22.02
1/27/2023,Miami,8789.05,30724.42,6743.21,37870.4,22.24
1/27/2023,Seattle,2286.36,6283.11,1324.52,8878.75,26.68
1/27/2023,Denver,19142.44,16520.03,3533.01,10402.38,53.68
1/27/2023,Boston,14526.91,6393.56,3959.3,5735.06,69.44
1/27/2023,Dallas,8074.62,25082.85,4726.09,25495.2,24.35
1/27/2023,Atlanta,4997.81,1043.66,557.97,1265.08,82.73
1/27/2023,Phoenix,13555.09,2445.38,3145.18,2555.9,84.72
1/27/2023,Las Vegas,5400.69,19129.78,5932.86,26850.12,22.02
1/27/2023,San Diego,23977.26,6718.21,3769.02,5142.6,78.11
1/27/2023,Philadelphia,35148.73,12755.74,10184.74,6789.65,73.37
1/28/2023,New York,24018.97,7086.5,3313.42,6625.12,77.22
1/28/2023,Los Angeles,7832.06,14234.41,1886.25,7543.19,35.49
1/28/2023,Chicago,10409.85,1877.62,2772.33,910.87,84.72
1/28/2023,Houston,37177.04,11076.43,6328.71,16210.36,77.05
1/28/2023,San Francisco,6174.73,21475.74,5818.8,9823.48,22.33
1/28/2023,Miami,7783.63,2644.84,2379.39,1668.97,74.64
1/28/2023,Seattle,6822.39,18081.08,4833.4,20802.78,27.4
1/28/2023,Denver,14608.99,5942.48,2977.91,7736.92,71.08
1/28/2023,Boston,8462.09,15339.38,3674.57,18023.61,35.55
1/28/2023,Dallas,8811.83,2037.64,1485.76,2783.5,81.22
1/28/2023,Atlanta,26429.61,8094.86,7181.95,4591.88,76.55
1/28/2023,Phoenix,1568.74,3669.73,862.35,1350.76,29.95
1/28/2023,Las Vegas,4739.32,8650.15,2030.37,11333.67,35.4
1/28/2023,San Diego,2983.47,3308,970,1910.77,47.42
1/28/2023,Philadelphia,6365.74,16106.73,3558.24,7718.18,28.33
1/29/2023,New York,5606.45,9069.35,1976.4,10378.47,38.2
1/29/2023,Los Angeles,10709.36,13329.44,4939.01,17636.27,44.55
1/29/2023,Chicago,5077.89,2550.91,1618.56,1317.8,66.56
1/29/2023,Houston,4589.43,4340.37,1852.65,3212.22,51.39
1/29/2023,San Francisco,11184.96,30849.84,5696.68,16547.12,26.61
1/29/2023,Miami,10917.28,11828.52,4370.27,16845.83,48
1/29/2023,Seattle,11217.15,2632.65,1371.43,813.66,80.99
1/29/2023,Denver,6230.9,4548.9,1126.66,4707.64,57.8
1/29/2023,Boston,12997.83,20354.97,5875.83,16365.79,38.97
1/29/2023,Dallas,9404.65,2898.15,2075.14,3204.45,76.44
1/29/2023,Atlanta,14296.58,25787.22,8069.37,24375.48,35.67
1/29/2023,Phoenix,3730.78,11450.02,2282.89,16970.26,24.58
1/29/2023,Las Vegas,10792.18,3083.62,2847.2,2588.36,77.78
1/29/2023,San Diego,14507.63,7215.17,3069.07,6414.73,66.79
1/29/2023,Philadelphia,28540.51,19810.29,4974.8,13870.92,59.03
1/30/2023,New York,17461.64,5485.53,2867.94,5593.24,76.09
1/30/2023,Los Angeles,11023.47,22119.7,8234.09,14044.44,33.26
1/30/2023,Chicago,12413.81,3223.36,1254.86,2005.61,79.39
1/30/2023,Houston,17122.99,18890.18,4913.51,25267.39,47.55
1/30/2023,San Francisco,3895.7,3028.47,1313.49,1987.28,56.26
1/30/2023,Miami,16580.48,20498.69,8065.06,25498.78,44.72
1/30/2023,Seattle,10954.77,19972.4,5970.34,20724.17,35.42
1/30/2023,Denver,15537.97,20235.2,4527.89,10068.84,43.43
1/30/2023,Boston,5039.09,2946.08,1174.25,3926.72,63.11
1/30/2023,Dallas,10007.51,22044.66,4774.96,8699.96,31.22
1/30/2023,Atlanta,13688.56,3344.61,3032.59,4643.6,80.36
1/30/2023,Phoenix,5572.47,5654.7,961.96,4043.47,49.63
1/30/2023,Las Vegas,9054.36,1849.81,1816.82,1306.37,83.04
1/30/2023,San Diego,19694.17,22518,8329.66,25152.42,46.66
1/30/2023,Philadelphia,8828.02,7010.15,3800.06,7151.16,55.74
1/31/2023,New York,15379.96,11225.86,3447.02,14644.35,57.81
1/31/2023,Los Angeles,9683.03,10421.79,2051.77,11243.1,48.16
1/31/2023,Chicago,4836.3,4939.52,1951.65,3115.7,49.47
1/31/2023,Houston,7507.3,11778.52,1949.96,13502.21,38.93
1/31/2023,San Francisco,7349.68,4121.14,2393.81,1509.1,64.07
1/31/2023,Miami,26918.23,7132.59,4553.16,8052.66,79.05
1/31/2023,Seattle,6340.16,4825.66,2447.48,7118.57,56.78
1/31/2023,Denver,14189.19,4302.63,1735.77,5562.98,76.73
1/31/2023,Boston,27162.08,18395.74,7810.49,14326.7,59.62
1/31/2023,Dallas,3786.76,3802.06,1316.59,5469.77,49.9
1/31/2023,Atlanta,8524.5,4521.32,1981.61,2160.23,65.34
1/31/2023,Phoenix,3601.99,1427.83,532.18,1912.7,71.61
1/31/2023,Las Vegas,3330.69,2071.13,1015.58,650.48,61.66
1/31/2023,San Diego,6571.13,8558.69,2288.67,10456.71,43.43
1/31/2023,Philadelphia,1779.89,4519.93,983.87,5937.31,28.25
